"Rank","ED_ENGLISH","COUNTY_ENG","VeryGoodHealthTotal","TotalPersons","VeryGoodHealth"
"1","LACKAN","WESTMEATH","94","121","77.7"
"2","KILTORCAN","KILKENNY","137","188","72.9"
"3","CLOONTRA","CLARE","222","307","72.3"
"4","INISHKENNY","CORK","777","1084","71.7"
"5","KNOCKNASCROW","LIMERICK","171","241","71"
"6","LISTERLIN","KILKENNY","304","428","71"
"7","NOHAVAL","CORK","244","345","70.7"
"8","MUCKALEE","KILKENNY","119","169","70.4"
"9","ALTIDORE","WICKLOW","272","388","70.1"
"10","CASTLEGANNON","KILKENNY","112","160","70"
"...","...","...","...","...","..."
"-","State","State","2740994","5149139","53.2"
"...","...","...","...","...","..."
"3411","CLOONUSKER","CLARE","75","279","26.9"
"3412","BALLYBRICKEN","WATERFORD CITY","44","171","25.7"
"3413","COOLREAGH","CLARE","54","213","25.4"
"3414","FEAKLE","CLARE","107","452","23.7"
"3415","JOHN'S C","LIMERICK CITY","111","503","22.1"
"3416","DOOCHARRY","DONEGAL","18","82","22"
"3417","ABBEY C","LIMERICK CITY","144","670","21.5"
"3418","CUSTOM HOUSE","LIMERICK CITY","181","893","20.3"
"3419","JOHN'S B","LIMERICK CITY","210","1038","20.2"
"3420","ROTUNDA B","DUBLIN CITY","650","3589","18.1"
