"Rank","ED_ENGLISH","COUNTY_ENG","CarersTotal","TotalPersons","Carers"
"1","CARRAN","CLARE","25","146","17.1"
"2","BROWNSFORD","KILKENNY","22","148","14.9"
"3","BELDERGMORE","MAYO","22","150","14.7"
"4","CULLIAGH","ROSCOMMON","30","208","14.4"
"5","NEALSTOWN","LAOIS","13","91","14.3"
"6","NOUGHAVAL","CLARE","15","111","13.5"
"7","BALLYHOOLAHAN","CORK","39","295","13.2"
"8","BENCORR","GALWAY","29","219","13.2"
"9","CAHER","LAOIS","14","108","13"
"10","ARDAGH","MAYO","47","365","12.9"
"...","...","...","...","...","..."
"-","State","State","299128","5149139","5.8"
"...","...","...","...","...","..."
"3411","CAPPARD","GALWAY","2","121","1.7"
"3412","KILSHENANE","KERRY","4","234","1.7"
"3413","ROTUNDA B","DUBLIN CITY","59","3589","1.6"
"3414","USHERS B","DUBLIN CITY","30","1903","1.6"
"3415","SHANNON A","LIMERICK CITY","19","1299","1.5"
"3416","LOUGHEA","CLARE","2","161","1.2"
"3417","TIRANASCRAGH","GALWAY","2","184","1.1"
"3418","DERRYLAHAN","CAVAN","1","97","1"
"3419","RATHBORNEY","CLARE","1","97","1"
"3420","GROUSEHALL","DONEGAL","0","84","0"
